Clip Gauge Length (mm)	Force (kN)
39.97961327	1.3311969
39.97955838	1.3380182
39.97957322	1.3332738
39.97970605	1.3359908
39.97959602	1.3454406
39.9796745	1.34069
39.97960939	1.3503127
39.97963261	1.3478349
39.97971297	1.3483512
39.97964471	1.352409
39.97976145	1.3574947
39.97972939	1.3534511
39.97971307	1.35747
39.97974887	1.3609014
39.97968616	1.3573443
39.97981963	1.3657345
39.97974997	1.3538263
39.97981123	1.3620155
39.97990693	1.3652209
39.97990778	1.3605115
39.97989006	1.3695726
39.97977465	1.3739721
39.9799347	1.3692572
39.97985711	1.3703043
39.97995575	1.375522
39.98000855	1.3789194
39.97991142	1.385355
39.98000015	1.382162
39.97991498	1.3833543
39.98003145	1.3946584
39.98004554	1.3860219
39.98011264	1.3894285
39.98003029	1.3914177
39.98007126	1.3966032
39.97995071	1.3940275
39.98005264	1.3962971
39.9801316	1.3967352
39.98014425	1.4036214
39.98017898	1.3935329
39.9801495	1.3989646
39.98017418	1.4052819
39.98018104	1.4082898
39.98025139	1.4058838
39.98020339	1.4100915
39.98028475	1.4079249
39.98024066	1.4093204
39.98028688	1.4180887
39.9802793	1.4186586
39.98021179	1.4168755
39.98024447	1.4141926
39.98018896	1.4260203
39.98046157	1.4229866
39.98040955	1.4290442
39.9803811	1.4216714
39.98043835	1.4296008
39.98035051	1.4388473
39.98050586	1.4359676
39.98048159	1.4314334
39.98052901	1.4388442
39.98046383	1.4433144
39.98051217	1.4449049
39.98044168	1.4442453
39.98051975	1.462859
39.98058362	1.442758
39.98057447	1.4518974
39.9806619	1.4457242
39.98061205	1.4607977
39.98064157	1.4512409
39.9806837	1.4572686
39.98070499	1.4631724
39.98062946	1.4713811
39.98075011	1.459428
39.9806199	1.4615161
39.98075536	1.4676673
39.98066893	1.4672613
39.98066563	1.4655327
39.98072155	1.4725952
39.98070016	1.4743484
39.98073575	1.4790125
39.98080747	1.4761492
39.98079715	1.4781437
39.98084707	1.4819821
39.98080586	1.4802958
39.98080405	1.4865943
39.98078742	1.4796888
39.98091794	1.4928955
39.98084947	1.4872903
39.98085914	1.4970686
39.98093217	1.4914286
39.98089017	1.4940374
39.98098096	1.5005341
39.98094122	1.5028057
39.98094074	1.4959019
39.98105217	1.5045351
39.98098737	1.5049342
39.98116514	1.5128891
39.98106613	1.5065656
39.98103671	1.5082399
39.9810916	1.511907
39.98104929	1.5042145
39.98109835	1.5178863
39.98116079	1.5128974
